"","total","rep","dem","new","old"
"edu_med",0.0483870967741935,0.0804020100502513,0.0212765957446809,0.0480769230769231,0.0484848484848485
"edu_law",0.366359447004608,0.301507537688442,0.421276595744681,0.375,0.363636363636364
"edu_masters",0.341013824884793,0.28643216080402,0.387234042553191,0.403846153846154,0.321212121212121
"edu_doctorate",0.0483870967741935,0.0301507537688442,0.0638297872340425,0.0288461538461538,0.0545454545454545
"work_bluecollar",0.0368663594470046,0.0201005025125628,0.051063829787234,0.0192307692307692,0.0424242424242424
"work_business",0.366359447004608,0.477386934673367,0.272340425531915,0.461538461538462,0.336363636363636
"work_education",0.138248847926267,0.0653266331658292,0.2,0.105769230769231,0.148484848484848
"work_farming",0.0506912442396313,0.0904522613065327,0.0170212765957447,0.0384615384615385,0.0545454545454545
"work_lawenforcement",0.0276497695852535,0.0402010050251256,0.0170212765957447,0.0480769230769231,0.0212121212121212
"work_lobbying",0.0391705069124424,0.0301507537688442,0.0468085106382979,0.00961538461538462,0.0484848484848485
"work_media",0.0460829493087558,0.0603015075376884,0.0340425531914894,0.0288461538461538,0.0515151515151515
"work_medicine",0.0622119815668203,0.085427135678392,0.0425531914893617,0.0769230769230769,0.0575757575757576
"work_military",0.17741935483871,0.266331658291457,0.102127659574468,0.201923076923077,0.16969696969697
"work_nonprofits",0.117511520737327,0.0251256281407035,0.195744680851064,0.201923076923077,0.0909090909090909
"work_privatelaw",0.292626728110599,0.251256281407035,0.327659574468085,0.269230769230769,0.3
"work_realestate",0.0552995391705069,0.0954773869346734,0.0212765957446809,0.0480769230769231,0.0575757575757576
"work_religiousleader",0.0138248847926267,0.0201005025125628,0.00851063829787234,0,0.0181818181818182
"work_science",0.032258064516129,0.0351758793969849,0.0297872340425532,0.0384615384615385,0.0303030303030303
"work_sports",0.0184331797235023,0.0251256281407035,0.0127659574468085,0.0384615384615385,0.0121212121212121
"gov_fedstate",0.142857142857143,0.130653266331658,0.153191489361702,0.163461538461538,0.136363636363636
"gov_local",0.324884792626728,0.276381909547739,0.365957446808511,0.221153846153846,0.357575757575758
"gov_none",0.241935483870968,0.251256281407035,0.234042553191489,0.375,0.2
"gov_publiclawyerjudge",0.138248847926267,0.130653266331658,0.14468085106383,0.134615384615385,0.139393939393939
"gov_stateleg",0.45852534562212,0.457286432160804,0.459574468085106,0.326923076923077,0.5
"college_none",0.0552995391705069,0.0703517587939698,0.0425531914893617,0.0288461538461538,0.0636363636363636
"college_public",0.504608294930876,0.597989949748744,0.425531914893617,0.528846153846154,0.496969696969697
"college_private",0.334101382488479,0.276381909547739,0.382978723404255,0.336538461538462,0.333333333333333
"college_elite",0.105990783410138,0.0552763819095477,0.148936170212766,0.105769230769231,0.106060606060606
